Cod_Regiune,act_wee_wo_ho,emp_pers,emp_tech_agriculture,emp_tech_education,emp_tech_electricity_and_gas,emp_tech_finance_and_insurance,emp_tech_high_tech_knowhow_intensive,emp_tech_high_tech_sectors,emp_tech_human_health_and_social_work,emp_tech_info_and_communcation,emp_tech_manufacturing,emp_tech_public_administration,emp_tech_services,emp_tech_transport,emp_tech_wholesale_and_retail_trade,gdp,gva,hr_st,inab_finan_expen,labour_force,labour_mk_slack,pop_prv_host_ed,pop_tot_20_64,y_nw_ned_nt
DE21,34.4,2451.6,39.1,152.6,163,108.8,182.7,241.4,320.5,173.3,466.5,173.2,1934.6,94.8,422.4,349686.03,1,41.4,22.4,2506.7,121,1165.7,2879818,6.5
DE94,33.5,1204.6,38.5,81.8,128.3,26.7,29.6,37.4,187.4,30.6,229.2,92,893.7,50.9,253.8,118493.76,0.7,27.5,41.3,1235.3,75,380.5,1510981,11.1
DEA3,33.1,1173,16,91.6,107.8,43.2,38.5,45.1,201.8,40.5,210.8,92.7,921.9,47.7,215.8,110395.91,-0.3,28.2,43.1,1209.3,86.5,388,1565143,11.7
DEF0,33.9,1368.2,32,97,133.2,40.8,42.2,57.5,232.6,43.2,185.4,119.5,1119.7,59,284.4,120811.3,-0.6,28.9,35.9,1410.4,88.7,458.7,1708314,11.1
IE04,35.2,416.1,29.9,41.1,36.3,13.1,20,31.6,68.3,19.1,64.2,22.5,325.3,14.4,87.6,41897.19,2.8,49.1,33.7,431.9,46.3,255.6,525786,11
IE05,35.5,790.5,51.9,71.9,66.2,21.4,38.7,80.4,119,36.9,117.9,37.8,622.6,27.2,178.9,176886.38,-11,48.3,36.5,822.9,92.4,474.9,1007710,10.8
IE06,35.6,1264.8,23.6,110,94.9,90.4,117.7,155.3,172.6,117.9,105,81.7,1123,61,251.2,291168.24,-3.1,56.3,33.4,1318.1,135,855,1574404,10
EL30,39.5,1524.7,18.6,140.1,83.2,56.8,73.5,98.3,121.8,73.7,147,166.3,1312.2,122.2,381,109653.75,2.9,47.4,40.5,1681.3,231.9,911.4,2296243,16.6
EL52,39.5,685.9,102.2,51.5,33,10.6,15.8,19.8,54.6,14.8,89.4,50.8,477.4,29.5,187,31000.69,0.7,35.3,40.8,795.2,151.9,341,1042070,20
EL63,38.7,243.3,56,17.4,17,2.1,4.7,5.3,24.7,4.3,16,19.9,164.3,7.8,61.4,9785.21,0.6,30.8,53.4,270,42.6,96.3,369726,16.2
ES11,36.8,1102.2,77.9,80.9,83.9,19,31.8,35.4,105.5,30.7,157.8,66.2,808.4,52.5,281.3,77356.3,2.6,44.7,29.2,1220.3,225.1,634.7,1569969,12
ES12,36.7,382.8,14.6,27.6,33.1,6.1,14.5,15.1,44.6,14.3,49,23.4,295.1,17.4,101,28325.5,3.2,48.2,27.5,433.9,93.1,247.5,584375,16.6
ES13,36.5,249.3,6,20.4,24.1,4.2,8.7,10,26.8,7.6,37.3,16.8,187.3,12.2,61.7,16776.6,3,52.1,25.8,271.1,45.1,167.5,349395,10.8
ES21,34.9,976,11,84.2,69.1,17.4,44.1,49.3,110.5,39.5,187.2,60.9,727.8,41.9,211.2,87857.5,2.6,58.6,20.6,1055.3,171,704.6,1300998,9.6
ES22,35.7,292.2,11,23.4,20.9,4.4,6.5,8.9,27.9,6.6,70.5,19.5,196.4,12.4,62.3,25041.2,2.4,50.7,27.1,323.2,55.1,186.3,398919,12.3
ES23,36.4,142.2,7.8,10,13.7,2.3,3.5,3.5,11.7,3.5,38.5,7.9,86.5,4.7,29.6,10618.1,4.6,42.4,27.4,156.7,25.6,74.8,190973,13.3
ES24,36.8,599,35.6,44.4,40.8,13.3,13.3,18.4,58.3,12.1,114.8,44.1,419.6,35.1,129.1,46673.6,3,44.8,30.5,653.8,101.4,333,797443,12
ES30,36.5,3248.8,15.6,211,235.3,163.4,229.8,271.6,285.3,227.4,264.3,232,2811.2,219.6,764.2,293069.3,2.7,51.9,34.1,3599.4,634.5,2083.3,4271108,12.3
ES41,36.6,987,69.4,70.8,79.2,14.7,23.8,29.8,117.8,22.3,149.6,85.5,711.9,40.8,226.1,70876.3,3.3,42.7,26.3,1091.3,204.9,546.6,1376130,13.3
ES42,36.9,874.1,54.5,61.3,84.6,15.9,25.7,31.4,80.1,24.8,127.3,76.4,628.1,67.4,191.6,53929.1,3.6,35.2,37.4,1005,225.2,412.1,1270013,14
ES43,36.2,407.8,38.9,30.6,35.4,9.8,8.9,9.7,49.8,9,38,47.6,302.7,13.3,93.7,24870.1,3,37.8,40.7,491.8,144.2,213.9,635599,15.2
ES51,36.6,3631.3,54,255.2,261.9,86.6,150.8,204.6,337.3,145,589.1,186,2824.8,218.2,917.2,281845.1,2.7,46.6,36.1,3987.5,582.5,2090.1,4819548,14.6
ES52,35.8,2252,52.2,183.5,193.4,35.3,73,83.6,188.8,69.2,341.8,127.6,1714.9,112,665.5,139419.9,2.5,41,38.8,2571.9,580.2,1200.1,3167129,13.5
ES53,36.9,571.8,3.4,34.9,62.8,11.2,13.3,14.3,46.5,14.2,29.4,39.2,493.3,35.3,220.2,42083.9,5.8,34,36.5,635.5,112.6,252.8,778159,17.8
ES61,36.1,3316.6,246.5,252.4,266.2,58.4,97,103.7,331,96.2,250.9,274.6,2617.2,150.4,940.3,199951.8,2.6,39.1,46.5,4032.3,1162.8,1850,5281852,18.7
ES62,36.2,654.3,76,45.4,49.5,7.7,13,15.4,58.4,11.7,68.5,39,474.5,35,189.9,40385.8,2.3,34.9,46.4,747.4,158.6,303.8,954637,18.1
ES70,36.9,942.6,21.2,49.3,71.5,11.9,17.8,19.3,85.4,18.4,37.6,82.8,836.9,45.9,391.8,54193.7,4.5,36.6,53.3,1120.3,263.3,485.3,1448375,16.6
HR03,38,524.5,20.5,51.4,58,8.3,13.3,15,36.5,13,60.6,36.1,399.6,42.1,141.9,25176.97,2.8,32,39.6,556.2,56.8,203.6,742196,15.3
ITC1,36.8,1740,62,110.7,135.5,54.9,60.2,78.4,151,62.5,430.6,64.2,1166.6,71.6,365.6,155971.77,0.3,22.6,33.2,1852.9,227.7,487.1,2436839,14.2
ITC3,36,603.2,6.9,40.5,58.6,17.8,16.9,22,54.3,16.7,71.9,37.8,493,43.9,166.5,57304.27,1.8,25.4,16.2,642.1,97.7,188.7,846569,13.8
ITC4,36.5,4351.1,56.4,263.2,349,165.3,184.6,276.3,354.6,195,1048.9,110.9,3031.9,198.7,930.6,490132.1,0.7,25.6,21.3,4525.2,438.2,1322.3,5882009,12.5
ITF1,35.6,485.2,20.3,43,50.4,13,7.6,15.5,39.3,7,93.1,29.6,337.1,19.3,105.9,39428.03,2.2,24.5,38.3,528.2,94.2,157.7,741162,18.5
ITF3,35,1617.3,67.5,172.7,154.9,27.6,53.4,58.8,129.4,52.4,206.6,104.9,1252.6,101.3,414.4,130265.49,1.3,22.4,38.9,1959.3,850.3,573.9,3370480,32.3
ITF4,36.4,1249.9,105.6,101.5,129.2,16.2,22.2,26.1,110.9,21,176.9,83.1,878.8,44.3,309.6,91628.92,1.2,21.4,37.8,1411.7,423.8,384.4,2297211,26.9
